input: (var0 || var1 || var2) && (var3 || !var2 || var4) && (var3 || !var2 || var5)
SAT
var0: false, var1: false, var2: false, var3: false, var4: false, var5: false, false
var0: false, var1: false, var2: false, var3: false, var4: false, var5: true, false
var0: false, var1: false, var2: false, var3: false, var4: true, var5: false, false
var0: false, var1: false, var2: false, var3: false, var4: true, var5: true, false
var0: false, var1: false, var2: false, var3: true, var4: false, var5: false, false
var0: false, var1: false, var2: false, var3: true, var4: false, var5: true, false
var0: false, var1: false, var2: false, var3: true, var4: true, var5: false, false
var0: false, var1: false, var2: false, var3: true, var4: true, var5: true, false
var0: false, var1: false, var2: true, var3: false, var4: false, var5: false, false
var0: false, var1: false, var2: true, var3: false, var4: false, var5: true, false
var0: false, var1: false, var2: true, var3: false, var4: true, var5: false, false
var0: false, var1: false, var2: true, var3: false, var4: true, var5: true, true
var0: false, var1: false, var2: true, var3: true, var4: false, var5: false, true
var0: false, var1: false, var2: true, var3: true, var4: false, var5: true, true
var0: false, var1: false, var2: true, var3: true, var4: true, var5: false, true
var0: false, var1: false, var2: true, var3: true, var4: true, var5: true, true
var0: false, var1: true, var2: false, var3: false, var4: false, var5: false, true
var0: false, var1: true, var2: false, var3: false, var4: false, var5: true, true
var0: false, var1: true, var2: false, var3: false, var4: true, var5: false, true
var0: false, var1: true, var2: false, var3: false, var4: true, var5: true, true
var0: false, var1: true, var2: false, var3: true, var4: false, var5: false, true
var0: false, var1: true, var2: false, var3: true, var4: false, var5: true, true
var0: false, var1: true, var2: false, var3: true, var4: true, var5: false, true
var0: false, var1: true, var2: false, var3: true, var4: true, var5: true, true
var0: false, var1: true, var2: true, var3: false, var4: false, var5: false, false
var0: false, var1: true, var2: true, var3: false, var4: false, var5: true, false
var0: false, var1: true, var2: true, var3: false, var4: true, var5: false, false
var0: false, var1: true, var2: true, var3: false, var4: true, var5: true, true
var0: false, var1: true, var2: true, var3: true, var4: false, var5: false, true
var0: false, var1: true, var2: true, var3: true, var4: false, var5: true, true
var0: false, var1: true, var2: true, var3: true, var4: true, var5: false, true
var0: false, var1: true, var2: true, var3: true, var4: true, var5: true, true
var0: true, var1: false, var2: false, var3: false, var4: false, var5: false, true
var0: true, var1: false, var2: false, var3: false, var4: false, var5: true, true
var0: true, var1: false, var2: false, var3: false, var4: true, var5: false, true
var0: true, var1: false, var2: false, var3: false, var4: true, var5: true, true
var0: true, var1: false, var2: false, var3: true, var4: false, var5: false, true
var0: true, var1: false, var2: false, var3: true, var4: false, var5: true, true
var0: true, var1: false, var2: false, var3: true, var4: true, var5: false, true
var0: true, var1: false, var2: false, var3: true, var4: true, var5: true, true
var0: true, var1: false, var2: true, var3: false, var4: false, var5: false, false
var0: true, var1: false, var2: true, var3: false, var4: false, var5: true, false
var0: true, var1: false, var2: true, var3: false, var4: true, var5: false, false
var0: true, var1: false, var2: true, var3: false, var4: true, var5: true, true
var0: true, var1: false, var2: true, var3: true, var4: false, var5: false, true
var0: true, var1: false, var2: true, var3: true, var4: false, var5: true, true
var0: true, var1: false, var2: true, var3: true, var4: true, var5: false, true
var0: true, var1: false, var2: true, var3: true, var4: true, var5: true, true
var0: true, var1: true, var2: false, var3: false, var4: false, var5: false, true
var0: true, var1: true, var2: false, var3: false, var4: false, var5: true, true
var0: true, var1: true, var2: false, var3: false, var4: true, var5: false, true
var0: true, var1: true, var2: false, var3: false, var4: true, var5: true, true
var0: true, var1: true, var2: false, var3: true, var4: false, var5: false, true
var0: true, var1: true, var2: false, var3: true, var4: false, var5: true, true
var0: true, var1: true, var2: false, var3: true, var4: true, var5: false, true
var0: true, var1: true, var2: false, var3: true, var4: true, var5: true, true
var0: true, var1: true, var2: true, var3: false, var4: false, var5: false, false
var0: true, var1: true, var2: true, var3: false, var4: false, var5: true, false
var0: true, var1: true, var2: true, var3: false, var4: true, var5: false, false
var0: true, var1: true, var2: true, var3: false, var4: true, var5: true, true
var0: true, var1: true, var2: true, var3: true, var4: false, var5: false, true
var0: true, var1: true, var2: true, var3: true, var4: false, var5: true, true
var0: true, var1: true, var2: true, var3: true, var4: true, var5: false, true
var0: true, var1: true, var2: true, var3: true, var4: true, var5: true, true
